crop_type,soil_type,weather_condition,pest_pressure,disease_name,water_stress_level,irrigation_needed,ndvi,soil_moisture_percent,temperature_celsius,humidity_percent,rainfall_mm,ph_level,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_fertility_index,crop_yield,latitude,longitude,nitrogen_recommendation
Jute,Clayey,Rainy,High,Anthracnose,Low,No,0.58,47.2,21.4,72.0,177.3,7.11,64.5,53.5,37.4,56.6,3.32,28.7646,88.3384,13.4
Muskmelon,Loamy,Normal,High,None,High,Yes,0.609,10.0,29.0,93.5,21.6,6.17,103.6,25.2,45.1,62.9,2.7,31.4067,89.1622,1.8
Grapes,Clayey,Normal,High,Powdery Mildew,Moderate,Yes,0.307,24.8,36.3,81.8,65.7,5.69,3.2,127.3,201.3,84.8,3.65,32.1892,72.717,14.0
Coffee,Clayey,Normal,High,None,Low,No,0.56,50.0,26.1,53.4,124.7,7.09,90.7,38.4,31.5,63.0,5.35,9.6222,91.8323,11.1
Grapes,Clayey,Normal,High,Powdery Mildew,Moderate,Yes,0.382,19.5,36.0,81.6,69.0,6.16,10.7,125.3,204.4,85.3,3.49,24.953,94.0369,8.2
Blackgram,Silty,Normal,High,Powdery Mildew,Moderate,Yes,0.47,22.3,32.6,68.6,62.4,6.65,59.9,58.5,19.9,64.0,3.01,35.3305,87.7282,0.0
Papaya,Loamy,Rainy,High,Papaya Ring Spot Virus,Low,No,0.607,66.5,28.0,90.8,191.6,6.5,60.0,54.2,48.4,72.9,4.3,25.6601,72.4323,3.3
Papaya,Clayey,Normal,High,Papaya Ring Spot Virus,Low,No,0.608,40.5,33.2,92.4,116.2,6.56,68.1,58.1,54.2,69.1,3.64,22.0937,70.0072,3.3
Pigeonpeas,Sandy,Normal,Medium,None,Low,No,0.336,42.9,23.8,64.9,113.3,5.77,5.1,66.9,20.5,48.1,5.03,20.7049,83.0097,10.7
Blackgram,Clayey,Normal,Medium,Powdery Mildew,Moderate,Yes,0.239,11.4,30.9,60.1,60.9,7.21,22.6,55.5,20.5,50.5,2.7,11.837,95.1299,15.9
Apple,Loamy,Normal,High,Apple Scab,Low,No,0.411,30.3,20.5,93.3,110.3,5.85,9.7,131.8,199.1,84.9,4.45,32.9885,75.211,7.6
Muskmelon,Loamy,Normal,High,None,High,Yes,0.393,16.0,29.4,90.4,28.6,6.4,85.6,9.6,49.6,67.1,3.06,12.823,82.0836,11.0
Grapes,Silty,Normal,Low,Anthracnose,Moderate,Yes,0.41,32.5,20.5,84.6,67.9,6.29,36.1,124.1,195.0,94.2,4.35,9.696,89.3364,0.0
Banana,Clayey,Normal,High,None,Moderate,Yes,0.465,31.9,29.3,76.6,92.4,6.46,82.3,84.6,50.0,78.3,5.42,15.1402,85.2411,16.5
Watermelon,Loamy,Normal,High,Anthracnose,High,Yes,0.475,23.7,22.6,86.7,45.3,6.31,106.3,19.1,48.2,68.6,2.42,36.8868,70.1246,0.0
Lentil,Loamy,Normal,High,None,Moderate,Yes,0.222,31.4,20.9,62.8,45.9,6.38,5.3,63.7,15.7,61.9,3.9,27.2383,95.229,10.7
Kidneybeans,Loamy,Cool,Low,None,Low,No,0.494,43.7,17.8,17.1,121.9,5.84,35.6,73.6,16.6,53.8,5.75,9.2785,77.6731,0.0
Lentil,Clayey,Normal,Medium,None,High,Yes,0.197,11.4,24.7,61.1,48.8,7.39,6.5,66.0,22.1,47.8,2.34,34.0705,91.0875,14.9
Mango,Clayey,Normal,Medium,None,Moderate,Yes,0.252,38.2,32.8,53.8,97.4,5.52,8.4,21.2,26.0,46.5,4.01,17.6334,94.9937,12.9
Blackgram,Clayey,Normal,High,None,Moderate,Yes,0.352,18.5,33.7,68.6,72.2,6.72,30.7,74.7,16.1,65.0,4.01,17.5196,93.0662,12.2
Lentil,Loamy,Normal,Low,None,Moderate,Yes,0.245,21.6,28.1,63.3,52.5,5.56,14.0,67.7,21.8,54.3,4.32,30.8064,80.6554,9.7
